flowsheet_name,measure_name,freq,known,label
Early Detection of Sepsis,Sepsis Score,310241537,1,0
Custom Formula Data,Initial Rate,94335271,1,0
Custom Formula Data,:,69961958,1,0
Daily Cares/Safety,Nursing Rounds,61539179,1,0
Vitals Reassessment,Restart Vitals Timer,50097121,1,0
Custom Formula Data,Initial Rate: ,46586090,1,0
Daily Cares/Safety,Call Light Within Reach,44586000,1,0
Daily Cares/Safety,Bed In Lowest Position,44371392,1,0
Daily Cares/Safety,Bed Wheels Locked,44175763,1,0
Daily Cares/Safety,Arm Bands On,43245251,1,0
Daily Cares/Safety,Overbed Table Within Reach,42852516,1,0
Daily Cares/Safety,Side Rails/Bed Safety,41928508,1,0
Custom Formula Data,Temp (in Celsius),41171692,1,0
Vital Signs,Pulse,38234596,1,hr
Vital Signs,SpO2,36420680,1,spo2
Daily Cares/Safety,Activity,36343947,1,0
Daily Cares/Safety,Chair Wheels Locked,34430100,1,0
Devices Testing Template,ETCO2,31287731,1,0
Devices Testing Template,FiO2,30972076,1,fio2
Pain Assessment,Restart Pain Assessment Timer,30249078,1,0
Daily Cares/Safety,Precautions,29918859,1,0
Devices Testing Template,Resp,29841354,1,rr
Devices Testing Template,HR (ECG),29752254,1,hr
Devices Testing Template,SpO2,29733474,1,spo2
Devices Testing Template,Monitor Check,29626430,1,0
Devices Testing Template,Pulse,28966290,1,hr
Vital Signs,Resp,28918213,1,rr
ICU Vital Signs,Pulse,26273085,1,hr
ICU Vital Signs,Resp,25818391,1,rr
ICU Vital Signs,SpO2,24449517,1,spo2
Devices Testing Template,Tidal (Observed),23841808,1,0
Devices Testing Template,Minute Ventilation,23721804,1,0
Devices Testing Template,PEEP/CPAP,23356848,1,peep
Devices Testing Template,PIP Observed,22949667,1,0
Daily Cares/Safety,Repositioned,22798349,1,0
Devices Testing Template,N2O Expired,22725640,1,0
Vital Signs,BP,21970052,1,bp
Daily Cares/Safety,Positioning Frequency,21890887,1,0
Devices Testing Template,O2% Expired,21863306,1,0
Devices Testing Template,ST LII,21662934,1,0
Workload Acuity Scores,Total Workload Acuity Score,19901345,1,0
Daily Cares/Safety,Head of Bed Elevated ,19399109,1,0
Devices Testing Template,Expired Sevoflurane,17636519,1,0
Devices Testing Template,Inspired Sevoflurane,17453307,1,0
Devices Testing Template,O2,17427438,1,0
Custom Formula Data,IBW/kg (Calculated) ,17300056,1,0
Intensive Cardiac Rehab Initial Assessment,BMI,572,1,bmi
ICU Vital Signs,Heart Rate Source,16508103,1,0
ICU Vital Signs,Cardiac Rhythm,15989447,1,0
Daily Cares/Safety,Safe Environment Interventions,15684030,1,0
Devices Testing Template,Temp,15589303,1,0
ICU Vital Signs,Resp Source,15579814,1,0
IV Assessment,Site Assessment,14344878,1,0
Vital Signs,Temp,14188846,1,temp
Intake/Output,Volume (mL),14030068,1,0
ICU Vital Signs,O2 Therapy,13991840,1,0
ICU Vital Signs,BP,13926177,1,bp
IV Assessment,Dressing Type,13729686,1,0
ICU Vital Signs,MAP (mmHg),13726222,1,0
IV Assessment,Dressing Status,13494489,1,0
Vital Signs,MAP (mmHg),13137011,1,0
Vital Signs,Monitor Check,13005997,1,0
Daily Cares/Safety,Level of Assistance,12978387,1,0
Vital Signs,ETCO2,12617071,1,0
Readmission Risk Score,Score,12576112,1,0
Vital Signs,FiO2,12526624,1,fio2
ICU Vital Signs,Pulse Oximetry Type,12364947,1,0
ICU Vital Signs,Patient Activity,12126216,1,0
Vital Signs,HR (ECG),12102768,1,hr
Daily Cares/Safety,Heels/Feet,11979409,1,0
ICU Vital Signs,Temp,11831972,1,temp
Daily Cares/Safety,Comfort Rounds 4P's ,11641214,1,0
Custom Formula Data,Weight Change Since Last Visit,11640789,1,0
Custom Formula Data,Weight Change Since Preop,11640789,1,0
Daily Cares/Safety,Safe Patient Handling- Assistance Needed ,11427524,1,0
Devices Testing Template,Air,11277116,1,0
Intake/Output - OLD,Volume (mL),11126612,1,0
Custom Formula Data,Total Weight Change Percent,10640741,1,0
Anthropometrics,Weight Change,10640739,1,0
Daily Cares/Safety,Range of Motion,10619185,1,0
Daily Cares/Safety,Mechanical Compression Status,10506345,1,0
Custom Formula Data,Feature 3: Altered Level of Consciousness,10370233,1,0
Vital Signs,Pain Assessment,10222801,1,0
Custom Formula Data,Fall Risk Calculated Score,10160132,1,0
Daily Cares/Safety,Mechanical Compression Site,10124295,1,0
ICU Vital Signs,Arterial Line MAP (mmHg),10113846,1,0
Daily Cares/Safety,Mechanical Compression Type,10111432,1,0
ICU Vital Signs,Arterial Line BP,10046121,1,bp
Complex Assessment,Site Assessment,9943586,1,0
ICU Vital Signs,O2 Del Method,9925499,1,0
ICU Vital Signs,Patient Position,9857620,1,0
Custom Formula Data,Admission Weight ,9765744,1,0
Daily Cares/Safety,Type of Device,9742524,1,0
ICU Vital Signs,FiO2 (%),9639827,1,fio2
Vital Signs,Tidal (Observed),9461630,1,0
Vital Signs,PEEP/CPAP,9321560,1,peep
ICU Vital Signs,BP Location,9320301,1,0
Vital Signs,Minute Ventilation,9288131,1,0
ICU Vital Signs,BP Method,9281369,1,0
Complex Assessment,Peri-wound Assessment,9238419,1,0
Daily Cares/Safety,Comfort,9189245,1,0
Vital Signs,PIP Observed,8985814,1,0
Vital Signs,N2O Expired,8935491,1,0
ICU Vital Signs,Temp src,8867594,1,0
Vital Signs,O2% Expired,8842068,1,0
Vital Signs,BP Location,8818078,1,0
ICU Vital Signs,ETCO2 (mmHg) Vent,8659853,1,0
Custom Formula Data,IBW in kg (Bariatric),8645666,1,0
Custom Formula Data,Initial Excess Weight,8645666,1,0
Data,Pain Score,8629776,1,0
Daily Cares/Safety,Reason For Exception(s),8508421,1,0
ICU Vital Signs,Pain Assessment,8344456,1,0
Vital Signs,ST LII,8336474,1,0
Vital Signs,BP Method,8305461,1,0
Daily Cares/Safety,Is patient able to participate in the BMAT?,8284837,1,0
Complex Assessment,Drainage Amount,8218584,1,0
Devices Testing Template,MAP,8205696,1,0
Custom Formula Data,EBW (kg),8166453,1,0
Custom Formula Data,Percent of IBW,8162666,1,0
Daily Cares/Safety,All Low Fall Interventions Applied,8162439,1,0
Vital Signs,Heart Rate Source,8072038,1,0
Vital Signs,Patient Position,7958673,1,0
Vital Signs,O2,7846564,1,o2
Daily Cares/Safety,Less Restrictive Alternative,7845847,1,0
Custom Formula Data,Admission Weight,7788534,1,0
Devices Testing Template,Arterial BP,7776000,1,bp
Custom Formula Data,IBW in lbs (Bariatric),7710924,1,0
Custom Formula Data,Adult Moderate Range Vt 8mL/kg ,7687232,1,0
Custom Formula Data,Adult High Range Vt 10mL/kg,7687232,1,0
Custom Formula Data,Low Range Vt 6mL/kg ,7687232,1,0
Daily Cares/Safety,All Moderate Fall Interventions Applied,7676026,1,0
Daily Cares/Safety,Clinical Goals for the Shift,7639031,1,0
Vital Signs,O2 Therapy,7610620,1,0
Daily Cares/Safety,BMAT Level,7590567,1,0
PCT Vitals & Pain,Pulse,7365121,1,hr
Vital Signs,Temp src,7357412,1,0
Custom Formula Data,EBW (lbs),7347674,1,0
Vital Signs,Expired Sevoflurane,7277058,1,0
Daily Cares/Safety,Sitter,7270665,1,0
Vital Signs,Inspired Sevoflurane,7175098,1,0
PCT Vitals & Pain,Temp,7153582,1,temp
Complex Assessment,Dressing,7151109,1,0
Complex Assessment,Closure,7114361,1,0
PCT Vitals & Pain,SpO2,7099462,1,spo2
PCT Vitals & Pain,Temp src,6994649,1,0
Phase I / Phase II,Pulse,6958836,1,0
Daily Cares/Safety,Secondary Diagnosis,6948014,1,0
Daily Cares/Safety,Intravenous Therapy/Heparin/Saline Lock,6945292,1,0
Daily Cares/Safety,Ambulatory Aids,6944457,1,0
Daily Cares/Safety,Gait/Transferring,6942767,1,0
Custom Formula Data,Pct Wt Change Since Previous Day,6942243,1,0
Daily Cares/Safety,History of Falling,6938566,1,0
Phase I / Phase II,SpO2,6922798,1,0
Daily Cares/Safety,Mental Status,6921338,1,0
PCT Vitals & Pain,BP,6883028,1,bp
PCT Vitals & Pain,Resp,6840607,1,rr
Vital Signs,Resp Source,6790844,1,0
Custom Formula Data,Weight in (lb) to have BMI = 25,6772805,1,0
Daily Cares/Safety,All High Fall Risk Interventions Applied,6702683,1,0
Devices Testing Template,NIBP (Mean),6695925,1,0
Devices Testing Template,NIBP,6677692,1,bp
Phase I / Phase II,Resp,6665074,1,0
PCT Vitals & Pain,BP Method,6606413,1,0
PCT Vitals & Pain,BP Location,6585672,1,0
Intake/Output,Urinary tube output (mL),6323421,1,0
ICU Vitals & Intake/Output,Pulse,6233986,1,hr
Custom Formula Data,BSA (Calculated - sq m),6227137,1,0
Intake/Output,Urinary Tube Net Output (mL),6213494,1,0
ICU Vitals & Intake/Output,Resp,6206868,1,rr
ICU Vitals & Intake/Output,SpO2,5980432,1,spo2
Vital Signs,Air,5703698,1,0
Phase I / Phase II,BP,5654428,1,0
Assessment,Site Assessment,5587555,1,0
ICU Vital Signs,Arterial Line Location,5587069,1,0
Phase I / Phase II,MAP (mmHg),5555458,1,0
Daily Cares/Safety,Hygiene,5510211,1,0
Daily Cares/Safety,Plan of Care Reviewed With,5481688,1,0
ICU Vital Signs,Art Line Waveform,5476052,1,0
IV Assessment,Dressing Change Due,5450218,1,0
Data,Pasero Opioid-Induced Sedation Scale (POSS),5437810,1,0
Assessment,Neuro (WDL),5408393,1,0
Assessment,Mobility,5375612,1,0
Assessment,Nutrition,5373387,1,0
Assessment,Friction and Shear,5371084,1,0
Assessment,Sensory Perceptions,5359667,1,0
Assessment,Moisture,5358334,1,0
Assessment,Peri-wound Assessment,5358157,1,0
Assessment,Activity,5357783,1,0
Assessment,Braden Scale Score,5335660,1,0
Assessment,Respiratory (WDL),5309585,1,0
Assessment,Cardiac (WDL),5304816,1,0
ICU Vitals & Intake/Output,Volume (mL),5300082,1,0
Assessment,Gastrointestinal (WDL),5185272,1,0
Assessment,Peripheral Vascular (WDL),5163983,1,0
Assessment,Musculoskeletal (WDL),5161348,1,0
Assessment,Integumentary (WDL),5159230,1,0
Assessment,HEENT (WDL),5142952,1,0
Intake/Output - OLD,Output (mL),5134371,1,0
Intake/Output,Urine,5117490,1,0
Assessment,Psychosocial (WDL),5073357,1,0
Assessment,Genitourinary (WDL),5056778,1,0
LACE+ Score,LACE+ Score,5022602,1,0
PCT Vitals & Pain,Patient Position,5011249,1,0
Daily Cares/Safety,Morse Fall Risk Score,4994912,1,0
Custom Formula Data,IBW/kg (Calculated) FEMALE,4981336,1,0
Complex Assessment,Dressing Status,4959478,1,0
Custom Formula Data,Morse Fall Risk Score (Retired),4832348,1,0
Assessment,Drainage Amount,4706749,1,0
Vital Signs,Pain Score,4697410,1,0
ICU Vital Signs,O2 Flow Rate (L/min),4694995,1,o2
Vital Signs,Weight,4687822,1,0
Intake/Output,Intake Tube #1 (mL),4630398,1,0
ICU Vital Signs,CVP (mmHg),4621826,1,0
Daily Cares/Safety,Telemetry Monitor On,4610121,1,0
Self-Injurious Behavior Assessment,Self-Injurious Behavior Assessment,4543759,1,0
Assessment,Charting Type,4536576,1,0
Daily Cares/Safety,Telemetry Audible,4433009,1,0
Complex Assessment,Drainage Odor,4429413,1,0
Daily Cares/Safety,Additional Comfort/Environmental Interventions,4423583,1,0
IV Assessment,Line Status Single(Retired USE IV Line Status Single),4408140,1,0
Daily Cares/Safety,Telemetry Alarms Set,4341354,1,0
Daily Cares/Safety,All High Risk Interventions EXCEPT:,4319147,1,0
Daily Cares/Safety,Safety Equipment at Bedside,4301687,1,0
PCT Vitals & Pain,MAP (mmHg),4278935,1,0
Daily Cares/Safety,Oral Care,4245004,1,0
PACU Nursing Care Plan,Evaluation of Goals Met,4207466,1,0
Daily Cares/Safety,Feeding Level of Assistance,4172069,1,0
Daily Cares/Safety,Assistive Device,4130755,1,0
Custom Formula Data,Pct Wt Change,4123591,1,0
Intake/Output,"P.O., No supplements",4095642,1,0
Room,Room,4078847,1,0
ICU Vitals & Intake/Output,Cardiac Rhythm,4063491,1,0
Devices Testing Template,Core Temp,4009385,1,0
ICU Vital Signs,Richmond Agitation Sedation Scale (RASS),3970900,1,0
IV Assessment,Lumen #1 Status,3969070,1,0
Assessment,Dressing,3938053,1,0
Assessment,Closure,3915258,1,0
Assessment,Eye Opening,3881538,1,0
ICU Vital Signs,Behavior,3869939,1,0
ICU Vitals & Intake/Output,Temp,3827004,1,temp
Assessment,Best Verbal Response,3806289,1,0
Assessment,Best Motor Response,3801849,1,0
Assessment,Glasgow Coma Scale Score,3786843,1,gcs
PCT Vitals & Pain,O2 Therapy,3782074,1,0
Vital Signs,Height,3678800,1,0
ICU Vital Signs,Level of Consciousness,3676963,1,0
Custom Formula Data,Vent Mode for VAE Reporting,3664497,1,0
ICU Vitals & Intake/Output,Heart Rate Source,3661870,1,0
Complex Assessment,Neuro (WDL),3652727,1,0
Assessment,Skin Integrity,3628713,1,0
ICU Vital Signs,Orientation ,3619834,1,0
Custom Formula Data,IBW/kg (Calculated) Male,3547243,1,0
Daily Cares/Safety,Additional Interventions Applied,3545585,1,0
Complex Assessment,Interventions,3536530,1,0
Assessment,Skin Condition/Temp,3533902,1,0
Screenings,"(RETIRED) In the last 10 days have you had any new or worsening cough, SOB, fever (>=100F), body aches, loss of taste or smell, diarrhea or vomiting, or sore throat?",3531463,1,0
Assessment,Skin Color,3525490,1,0
ICU Vitals & Intake/Output,Resp Source,3524070,1,0
ICU Vitals & Intake/Output,O2 Therapy,3507365,1,0
Vital Signs,Patient's Stated Pain Goal,3499971,1,0
Complex Assessment,Peripheral Vascular (WDL),3499549,1,0
Daily Cares/Safety,All Moderate Fall Risk Interventions EXCEPT:,3492899,1,0
Complex Assessment,Respiratory (WDL),3478103,1,0
Daily Cares/Safety,Entertainment Activities,3442620,1,0
